country,district,village,region,id,village_id,country_id,megaste_id,site_type,site_desc,url,partners,coordinato,email,LastUpdate,lon,lat,alt,partner
Ethiopia,Bale,Sanbitu,,0,eth01,ETH,EH,action site,,eth/sanbitu/site_01.jpg,,"Haile, Beliyou - Roberts, Cleophelia (interim)","b.haile@cgiar.org, c.roberts@cgiar.org",7/28/15,40.044,7.264,2354,
Ethiopia,Bale,Selka,,0,eth02,ETH,EH,action site,,eth/selka/site_01.jpg,,"Haile, Beliyou - Roberts, Cleophelia (interim)","b.haile@cgiar.org, c.roberts@cgiar.org",7/28/15,40.223,7.061,2488,
Ethiopia,Hadiya,Jawe,,0,eth03,ETH,EH,action site,,eth/jawe/site_01.jpg,,"Haile, Beliyou - Roberts, Cleophelia (interim)","b.haile@cgiar.org, c.roberts@cgiar.org",7/28/15,37.799,7.506,2154,
Ethiopia,Hadiya,Upper Gana,,0,eth04,ETH,EH,action site,,eth/upper-gana/site_01.jpg,,"Haile, Beliyou - Roberts, Cleophelia (interim)","b.haile@cgiar.org, c.roberts@cgiar.org",7/28/15,37.857,7.673,2529,
Ethiopia,North Shewa (K3),Goshe-Bado,,0,eth05,ETH,EH,action site,,eth/goshe-bado/site_01.jpg,,"Haile, Beliyou - Roberts, Cleophelia (interim)","b.haile@cgiar.org, c.roberts@cgiar.org",7/28/15,39.413,9.762,2314,
Ethiopia,North Shewa (K3),Gudo-Beret,,0,eth06,ETH,EH,action site,,eth/gudo-beret/site_01.jpg,,"Haile, Beliyou - Roberts, Cleophelia (interim)","b.haile@cgiar.org, c.roberts@cgiar.org",7/28/15,39.685,9.791,3128,
Ethiopia,Southern Tigray,Embahasti,,0,eth07,ETH,EH,action site,,eth/embahasti/site_01.jpg,,"Haile, Beliyou - Roberts, Cleophelia (interim)","b.haile@cgiar.org, c.roberts@cgiar.org",7/28/15,39.554,12.843,3141,
Ethiopia,Southern Tigray,Tsebet,,0,eth08,ETH,EH,action site,,eth/tsebet/site_01.jpg,,"Haile, Beliyou - Roberts, Cleophelia (interim)","b.haile@cgiar.org, c.roberts@cgiar.org",7/28/15,39.504,12.841,3106,
Ghana,Savelugu Nanton,Disiga,,0,gha01,GHA,WA,control site,,gha/disiga/site_01.jpg,,"Signorelli, Sara",s.signorelli@cgiar.org,7/28/15,-0.82406,10.01388,144,
Ghana,Savelugu Nanton,Gushie,,0,gha02,GHA,WA,control site,,gha/gushie/site_01.jpg,,"Signorelli, Sara",s.signorelli@cgiar.org,7/28/15,-0.85995,9.80585,125,
Ghana,Savelugu Nanton,Kadia,,0,gha03,GHA,WA,control site,,gha/kadia/site_01.jpg,,"Signorelli, Sara",s.signorelli@cgiar.org,7/28/15,-0.85712,9.90423,130,
Ghana,Savelugu Nanton,Kpelung,,0,gha04,GHA,WA,control site,,gha/kpelung/site_01.jpg,,"Signorelli, Sara",s.signorelli@cgiar.org,7/28/15,-0.93988,9.67147,119,
Ghana,Savelugu Nanton,Kukobila,,0,gha05,GHA,WA,control site,,gha/kukobila/site_01.jpg,,"Signorelli, Sara",s.signorelli@cgiar.org,7/28/15,-0.80755,10.1215,119,
Ghana,West Mamprusi,Kukua,,0,gha06,GHA,WA,control site,,gha/kukua/site_01.jpg,,"Signorelli, Sara",s.signorelli@cgiar.org,7/28/15,-0.8191,10.30044,159,
Ghana,West Mamprusi,Laogri,,0,gha07,GHA,WA,control site,,gha/laogri/site_01.jpg,,"Signorelli, Sara",s.signorelli@cgiar.org,7/28/15,-0.82711,10.27545,141,
Ghana,Savelugu Nanton,Nabogu,,0,gha08,GHA,WA,control site,,gha/nabogu/site_01.jpg,,"Signorelli, Sara",s.signorelli@cgiar.org,7/28/15,-0.82352,9.74691,112,
Ghana,West Mamprusi,Nasia,,0,gha09,GHA,WA,control site,,gha/nasia/site_01.jpg,,"Signorelli, Sara",s.signorelli@cgiar.org,7/28/15,-0.80384,10.15774,118,
Ghana,Savelugu Nanton,Pigu,,0,gha10,GHA,WA,control site,,gha/pigu/site_01.jpg,,"Signorelli, Sara",s.signorelli@cgiar.org,7/28/15,-0.82407,9.98003,165,
Ghana,Savelugu Nanton,Tindan,,0,gha11,GHA,WA,control site,,gha/tindan/site_01.jpg,,"Signorelli, Sara",s.signorelli@cgiar.org,7/28/15,-0.91786,9.66772,128,
Ghana,Savelugu Nanton,Botingli,,0,gha12,GHA,WA,action site,,gha/botingli/site_01.jpg,,"Signorelli, Sara",s.signorelli@cgiar.org,7/28/15,-0.78867,9.6117,145,
